year;month;day;hour;day_week;date_id
2022;2;14;9;2;327
2022;2;14;10;2;328
2022;2;14;11;2;329
2022;2;14;12;2;330
2022;2;14;13;2;331
2022;2;14;14;2;332
2022;2;14;16;2;333
2022;2;14;22;2;334
2022;2;15;1;3;335
2022;2;15;3;3;336
2022;2;15;5;3;337
2022;2;15;6;3;338
2022;2;15;7;3;339
2022;2;15;8;3;340
2022;2;15;9;3;341
2022;2;15;10;3;342
2022;2;15;11;3;343
2022;2;15;12;3;344
2022;2;15;13;3;345
2022;2;15;14;3;346
2022;2;15;16;3;347
2022;2;15;17;3;348
2022;2;15;21;3;349
2022;2;16;2;4;350
2022;2;16;3;4;351
2022;2;16;7;4;352
2022;2;16;9;4;353
2022;2;16;10;4;354
2022;2;16;11;4;355
2022;2;16;12;4;356
2022;2;16;13;4;357
2022;2;16;14;4;358
2022;2;16;15;4;359
2022;2;16;16;4;360
2022;2;16;17;4;361
2022;2;16;18;4;362
2022;2;17;5;5;363
2022;2;17;6;5;364
2022;2;17;7;5;365
2022;2;17;8;5;366
2022;2;17;9;5;367
2022;2;17;11;5;368
2022;2;17;13;5;369
2022;2;17;15;5;370
2022;2;17;16;5;371
2022;2;17;17;5;372
2022;2;18;9;6;373
2022;2;18;11;6;374
2022;2;18;12;6;375
2022;2;18;13;6;376
2022;2;18;14;6;377
2022;2;18;18;6;378
2022;2;18;19;6;379
2022;2;18;21;6;380
2022;2;18;22;6;381
2022;2;21;3;2;382
2022;2;21;6;2;383
2022;2;21;7;2;384
2022;2;21;8;2;385
2022;2;21;9;2;386
2022;2;21;10;2;387
2022;2;21;11;2;388
2022;2;21;12;2;389
2022;2;21;13;2;390
2022;2;21;14;2;391
2022;2;21;15;2;392
2022;2;21;16;2;393
2022;2;21;17;2;394
2022;2;22;6;3;395
2022;2;22;7;3;396
2022;2;22;8;3;397
2022;2;22;9;3;398
2022;2;22;10;3;399
2022;2;22;11;3;400
2022;2;22;12;3;401
2022;2;22;13;3;402
2022;2;22;14;3;403
2022;2;22;15;3;404
2022;2;22;16;3;405
2022;2;22;18;3;406
2022;2;23;6;4;407
2022;2;23;8;4;408
2022;2;23;9;4;409
2022;2;23;10;4;410
2022;2;23;11;4;411
2022;2;23;12;4;412
2022;2;23;13;4;413
2022;2;23;14;4;414
2022;2;23;15;4;415
2022;2;23;16;4;416
2022;2;23;18;4;417
2022;2;23;20;4;418
2022;2;24;2;5;419
2022;2;24;8;5;420
2022;2;24;9;5;421
2022;2;24;10;5;422
2022;2;24;12;5;423
2022;2;24;14;5;424
2022;2;24;15;5;425
2022;2;24;16;5;426
2022;2;25;5;6;427
2022;2;25;10;6;428
2022;2;25;11;6;429
2022;2;25;12;6;430
2022;2;25;15;6;431
2022;2;27;16;1;432
2022;2;27;22;1;433
2022;2;28;0;2;434
2022;2;28;6;2;435
2022;2;28;10;2;436
2022;2;28;11;2;437
2022;2;28;12;2;438
2022;2;28;13;2;439
2022;2;28;14;2;440
2022;2;28;15;2;441
2022;2;28;16;2;442
2022;3;1;7;3;443
2022;3;1;8;3;444
2022;3;1;9;3;445
2022;3;1;10;3;446
